epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1734.56,1.02563,1.86208,1.03356,1.213,0.48995,0.58785,0.49136,0.28282,0.4088,0.494,0.39563,0.20367,1.34251,2.41765,1.81215,1.39177,0.000724062,0.000724062,0.000724062
87,1754.3,1.06104,1.92541,1.08491,1.23237,0.47348,0.6226,0.52975,0.30541,0.46507,0.60494,0.52015,0.24671,1.35259,2.3338,1.74099,1.41756,0.000717875,0.000717875,0.000717875
88,1774.02,1.03899,1.7829,1.07882,1.1731,0.67487,0.59723,0.62142,0.36228,0.65469,0.56992,0.59418,0.28866,1.35732,2.38707,1.56341,1.43383,0.000711687,0.000711687,0.000711687
89,1794.5,1.04572,1.88359,1.05529,1.21838,0.66588,0.5625,0.64245,0.39752,0.65429,0.54985,0.63164,0.29695,1.28593,2.42267,1.38278,1.34988,0.0007055,0.0007055,0.0007055
90,1813.62,1.01862,1.67416,0.98476,1.17599,0.8096,0.45117,0.65701,0.3817,0.44591,0.52408,0.52508,0.28278,1.23998,2.34315,1.46197,1.31661,0.000699312,0.000699312,0.000699312
91,1832.67,0.9738,1.68147,1.00567,1.17479,0.58499,0.47841,0.56442,0.35249,0.56154,0.45938,0.54617,0.25593,1.25294,2.29338,1.49749,1.31476,0.000693125,0.000693125,0.000693125
92,1852.42,0.99349,1.72795,0.99776,1.19057,0.55818,0.4681,0.56609,0.3382,0.53506,0.43779,0.53244,0.2483,1.28883,2.49456,1.62815,1.37053,0.000686937,0.000686937,0.000686937
93,1872.04,0.98458,1.70378,0.94996,1.14246,0.59384,0.63441,0.5693,0.33721,0.57017,0.59548,0.5323,0.27269,1.32751,2.39974,1.48041,1.42555,0.00068075,0.00068075,0.00068075
94,1891.48,1.00014,1.73425,1.03489,1.20662,0.60616,0.63023,0.56913,0.35627,0.57585,0.59739,0.53949,0.29375,1.31489,2.27949,1.33837,1.40579,0.000674562,0.000674562,0.000674562
95,1912.49,0.97578,1.79643,1.01947,1.16321,0.50809,0.64262,0.61001,0.38126,0.48933,0.61362,0.5621,0.27054,1.28322,2.50686,1.36418,1.3729,0.000668375,0.000668375,0.000668375
96,1932.38,0.95844,1.76226,1.0112,1.1814,0.39538,0.4551,0.48943,0.32141,0.32022,0.58335,0.43343,0.23955,1.26702,2.30739,1.45373,1.32652,0.000662188,0.000662188,0.000662188
97,1952.05,0.98518,1.66414,0.97122,1.19559,0.39111,0.67744,0.52432,0.33968,0.40172,0.43595,0.45719,0.25105,1.23818,2.32686,1.37886,1.3114,0.000656,0.000656,0.000656
98,1971.27,0.98192,1.65724,0.96624,1.16433,0.63139,0.56924,0.58311,0.38568,0.67718,0.60692,0.65775,0.29738,1.19452,2.20772,1.34428,1.31017,0.000649813,0.000649813,0.000649813
99,1990.64,0.98069,1.75582,0.93493,1.15598,0.5542,0.61315,0.56958,0.39024,0.54025,0.59484,0.56697,0.28274,1.18559,2.23904,1.2308,1.28986,0.000643625,0.000643625,0.000643625
100,2010.68,0.97553,1.65666,0.95862,1.14529,0.55772,0.55021,0.62111,0.4002,0.43676,0.86717,0.62899,0.3133,1.21105,2.21778,1.33719,1.29947,0.000637437,0.000637437,0.000637437
101,2029.84,0.98019,1.73544,0.9904,1.16146,0.51863,0.55453,0.575,0.37282,0.50508,0.55461,0.5503,0.30976,1.20888,2.15644,1.27349,1.32,0.00063125,0.00063125,0.00063125
